,Day 1,Day 2,kappa,kappa std,R1,R2,xbar,xbar std,ntransfers
0,0,1,1.8988371892256475e-06,5.812097576002276e-08,903291.0,3325359.0,0.023779315262064192,0.0007644930307390612,1
1,1,2,3.642709110625275e-07,6.451541365879952e-09,3325359.0,5655734.0,-0.0042957121015585195,0.00032899404374789456,1
2,2,3,1.6054777606729394e-06,2.039661782132075e-08,5655734.0,10216121.0,0.009136869575086052,0.0009925763659033532,1
3,3,4,1.8522773365854812e-06,4.271612966028042e-08,10216121.0,7609628.0,-0.013650675573739378,0.0007824073347332382,1
