,Day,zeta,zeta + Ne R,R,Ne
3,0,1.9389850295714924e-08,5.698855578498329,31696841.0,9781564.019402012
0,1,1.1145004847398407e-08,8.48933908093662,57824102.0,9781564.019402012
2,2,1.0183890650776259e-08,7.957814531530488,55661235.0,9781564.019402012
4,3,1.3266697781939613e-08,8.545056130890824,55022923.0,9781564.019402012
1,4,5.4154601420372015e-09,7.884868575758757,63641550.0,9781564.019402012
