,Day 1,Day 2,kappa,kappa std,R1,R2,xbar,xbar std,ntransfers
0,0,1,3.380736764627256e-07,2.3333537763304068e-08,3691085.0,4335334.0,-0.019096339989666512,0.0015322632961981926,1
1,1,2,4.384702962382598e-07,3.701513144297592e-08,4335334.0,4667315.0,-0.012103219053069247,0.0015274586690352402,1
2,2,3,2.1469247889384225e-07,1.5397172699519603e-08,4667315.0,3543603.0,-0.010662828779431133,0.0011653854588319049,1
3,3,4,2.2259930897493116e-07,1.642902863755482e-08,3543603.0,2789167.0,-0.002830414957129419,0.001182790067896708,1
4,0,2,1.1726363152351142e-06,7.546800544070501e-08,3691085.0,4667315.0,-0.030219060867632628,0.0025838867837852217,2
5,1,3,6.896195768195539e-07,5.01959040359168e-08,4335334.0,3543603.0,-0.021053718282805584,0.001506356811437726,2
6,2,4,2.847302446144284e-07,1.862448484144405e-08,4667315.0,2789167.0,-0.012776179812986475,0.0010382619722881065,2
7,0,3,1.5749980068620114e-06,1.135494845791463e-07,3691085.0,3543603.0,-0.04011716772906253,0.0027175644688798833,3
8,1,4,9.84550569235251e-07,6.884893021840684e-08,4335334.0,2789167.0,-0.023098433306777317,0.001589383894759876,3
