,Day,zeta,zeta + Ne R,R,Ne
4,0,2.7197255383533478e-08,7.453492642450611,9192104.0,1424361.1187428958
3,1,6.496981172490579e-08,7.693084185867606,7997398.0,1424361.1187428958
2,2,4.975913021840699e-08,8.443099717014892,9369711.0,1424361.1187428958
1,3,3.1950980550032345e-08,6.493330235597622,7824486.0,1424361.1187428958
0,4,3.642782351331494e-08,5.818220540909601,6862886.0,1424361.1187428958
