,Day 1,Day 2,kappa,kappa std,R1,R2,xbar,xbar std,ntransfers
0,0,1,5.041478178200498e-07,4.743650826688256e-08,6355964.0,7089481.0,-0.01355192655345003,0.0015554843988304981,1
1,1,2,2.222266154262533e-07,1.746706808245493e-08,7089481.0,6005392.0,0.017005578152572594,0.0008165082828983066,1
2,2,3,2.8051538476856404e-07,2.88429054418146e-08,6005392.0,5730118.0,-0.003314044757260593,0.0011440249451490894,1
3,3,4,2.3121738292850725e-07,2.1082845926818654e-08,5730118.0,4344732.0,0.024666322403552814,0.0010971142236009008,1
4,0,2,6.232096915196006e-07,6.580346576717332e-08,6355964.0,6005392.0,0.0006906684474494451,0.0014892995955799611,2
5,1,3,4.382216334444637e-07,4.4658964930931e-08,7089481.0,5730118.0,0.013694567341515506,0.001803163537053877,2
6,2,4,4.78422590134332e-07,4.065610332271697e-08,6005392.0,4344732.0,0.022650596217570727,0.0013425979486597751,2
7,0,3,1.13051693322365e-06,1.2121572251392865e-07,6355964.0,5730118.0,-0.004532363502858934,0.002243016360605926,3
8,1,4,7.102137245372316e-07,7.160838469690976e-08,7089481.0,4344732.0,0.039217959846790364,0.0014455356039026978,3
