,Day 1,Day 2,kappa,kappa std,R1,R2,xbar,xbar std,ntransfers
0,0,1,1.0546770800793285e-07,3.66233691796996e-09,11786479.0,10703571.0,-0.0025055700694204867,0.00036339982761555447,1
1,1,2,1.0991025680363447e-07,4.047845575696306e-09,10703571.0,10581306.0,0.0036203539684828,0.0003923425855819119,1
2,2,3,9.847500062015855e-08,3.519713048414379e-09,10581306.0,9973192.0,-0.003708959485762988,0.0003645060627518636,1
3,3,4,8.266924748880323e-08,2.973000437963766e-09,9973192.0,9669249.0,0.005780819843481666,0.0003283303320054188,1
4,0,2,1.4095803844077314e-07,4.6287799627581176e-09,11786479.0,10581306.0,0.001165337642596639,0.0004193257374462336,2
5,1,3,1.348247900635543e-07,4.994389082564413e-09,10703571.0,9973192.0,5.034710099055339e-05,0.0003878700275726377,2
6,2,4,1.2036284676091754e-07,4.5867864155413e-09,10581306.0,9669249.0,0.002605943700357185,0.0003756108235075964,2
7,0,3,1.7009530148234526e-07,5.823565199424521e-09,11786479.0,9973192.0,-0.0031774730709391735,0.0004935501527766395,3
8,1,4,1.5666734001404322e-07,6.513642616066408e-09,10703571.0,9669249.0,0.005860428049102825,0.00044392136523986706,3
