,Day 1,Day 2,kappa,kappa std,R1,R2,xbar,xbar std,ntransfers
0,0,1,2.542545701952609e-07,6.051806959506932e-09,7217350.0,5126447.0,-0.002068969729761467,0.0002071038121609307,1
1,1,2,3.1803842916848147e-06,7.935350299717116e-08,5126447.0,2466969.0,-0.004701113218948134,0.0008705890903950797,1
2,2,3,5.077173794829923e-07,1.1834883649779768e-08,2466969.0,2362995.0,0.0026452157328133224,0.00034528083117353164,1
3,3,4,3.844049855252327e-06,1.0072513698011756e-07,2362995.0,6039160.0,0.007345990587679588,0.0008840378219980352,1
