Strain,Replicate,Day,Primer
4537H,1,0,1
7178A,1,0,13
11830,1,0,25
11832,1,0,37
11036,1,0,49
11319D,1,0,61
4537G,1,0,73
11833,1,0,85
11035,1,0,2
11319C,1,0,14
R,3,0,26
10950,2,0,38
10951,2,0,50
11342,2,0,62
11343,2,0,74
4537H,1,1,86
7178A,1,1,3
11830,1,1,15
11832,1,1,27
11036,1,1,39
11319D,1,1,51
4537G,1,1,63
11833,1,1,75
11035,1,1,87
11319C,1,1,4
R,3,1,16
10950,2,1,28
10951,2,1,40
11342,2,1,52
11343,2,1,64
4537H,1,2,76
7178A,1,2,88
11830,1,2,5
11832,1,2,17
11036,1,2,29
11319D,1,2,41
4537G,1,2,53
11833,1,2,65
11035,1,2,77
11319C,1,2,89
R,3,2,6
10950,2,2,18
10951,2,2,30
11342,2,2,42
11343,2,2,54
4537H,1,3,66
7178A,1,3,78
11830,1,3,90
11832,1,3,7
11036,1,3,19
11319D,1,3,31
4537G,1,3,43
11833,1,3,55
11035,1,3,67
11319C,1,3,79
R,3,3,91
10950,2,3,8
10951,2,3,20
11342,2,3,32
11343,2,3,44
4537H,1,4,56
7178A,1,4,68
11830,1,4,80
11832,1,4,92
11036,1,4,9
11319D,1,4,21
4537G,1,4,33
11833,1,4,45
11035,1,4,57
11319C,1,4,69
R,3,4,81
10950,2,4,93
10951,2,4,10
11342,2,4,22
11343,2,4,34
