Day,R,R new,R old/new
0,31696841,1117023,28.37617578151927
1,57824102,2069265,27.94427103343458
2,55661235,1935108,28.76389069757347
3,55022923,1955920,28.13147930385701
4,63641550,2256274,28.206481127735373
