Day,R,R new,R old/new
0,13248893,1859873,7.1235471454233705
1,12171974,1641288,7.416111005502995
2,15081840,1491002,10.11523794066004
3,11497014,669751,17.166102028963003
4,9628084,253413,37.993646734776824
