,super bc
13022,14838
13051,14872
13061,14882
13068,14890
13075,14898
13080,14903
13087,14910
13115,14941
13133,14960
13138,14965
13141,14968
13162,14994
13178,15010
13219,15054
13317,15165
13357,15207
13420,15282
13463,15327
13480,15348
13493,15362
13513,15385
13526,15399
13542,15416
13559,15433
13562,15436
13666,15551
13678,15565
13750,15643
13757,15657
13764,15666
13778,15688
13781,15691
13795,15715
13796,15716
13801,15731
13815,15758
13817,15762
13821,15768
13856,15828
13860,15837
13881,15870
13882,15871
13901,15897
13903,15899
13915,15918
13929,15938
13996,16038
14009,16056
14050,16118
14072,16152
14076,16156
14079,16160
14090,16176
14094,16188
14111,16215
14138,16262
14142,16269
14178,16335
14192,16353
14216,16394
14225,16410
14227,16414
14262,16476
14275,16497
14277,16501
14289,16523
14296,16541
14326,16589
14331,16599
14355,16626
14370,16646
14389,16675
14397,16684
14407,16704
14409,16707
14424,16734
14426,16738
14431,16744
14443,16766
14447,16773
14457,16787
14472,16810
14496,16850
14507,16864
14520,16887
14537,16916
14541,16921
14581,16996
14586,17005
14589,17008
14592,17013
14594,17015
14604,17030
14606,17033
14613,17045
14618,17055
14627,17071
14628,17072
14642,17091
14659,17115
14689,17166
14693,17172
14708,17194
14723,17221
14733,17242
14748,17272
14751,17276
14785,17336
14794,17349
14818,17391
14821,17395
14831,17408
14849,17436
14850,17437
14851,17438
14853,17441
14857,17446
14868,17465
14884,17484
14889,17490
14911,17526
14912,17527
14957,17601
14981,17643
14985,17650
14989,17657
14998,17670
15023,17847
15042,18096
15045,18113
15056,18227
15057,18248
15058,18262
15067,18384
15069,18406
15071,18425
15072,18438
15086,18550
15098,18651
15101,18662
15103,18681
15111,18782
15128,18937
15129,18943
15132,18986
15149,19237
15150,19242
15156,19299
15162,19348
15171,19386
15172,19392
15210,19852
15224,20050
15234,20137
15254,20274
15256,20288
15257,20302
15262,20342
15293,20623
15302,20691
15303,20696
15305,20709
15312,20765
15332,21008
15341,21117
15342,21124
15343,21135
15347,21196
15350,21216
15352,21232
15354,21243
15358,21307
15374,21453
15376,21472
15380,21483
15382,21486
15391,21551
15396,21587
15398,21605
15401,21639
15406,21670
15411,21735
15416,21786
15425,21911
15426,21915
15431,21986
15432,21991
15441,22051
15445,22112
15455,22226
15456,22228
15465,22417
15467,22420
15470,22425
15500,22738
15502,22745
15517,22828
15524,22911
15525,22912
15527,22926
15530,22966
15539,23046
15542,23061
15543,23064
15551,23148
15558,23223
15571,23400
15572,23409
15577,23450
15578,23451
15584,23485
15586,23499
15594,23577
15597,23623
15603,23700
15606,23711
15615,23762
15622,23835
15628,23880
15632,23935
15639,23994
15644,24058
15647,24130
15648,24146
15661,24283
15667,24366
15676,24437
15702,24673
15713,24787
15734,24986
15735,24996
15750,25116
15751,25117
15777,25379
