Experiment,Replicate
11343,1
28,1
28,2
46,1
46,2
1159B,1
2174A,1
2174B,1
4531A,1
7184A,1
7184B,1
10407,1
10408,1
10950,1
10951,1
11342,1
1159A,1
4531B,1
8601B,1
