Day,Strain,CFU1,CFU2,Dilution,Replicate
0,1165A,275,,5.00E-05,1
0,11829,253,349,5.00E-05,1
0,1159A,304,313,5.00E-05,2
0,1159B,208,171,5.00E-05,2
0,2174A,209,254,5.00E-05,2
0,2174B,189,195,5.00E-05,2
0,4531A,148,165,5.00E-05,2
0,4531B,222,228,5.00E-05,2
0,7184A,290,249,5.00E-05,2
0,7184B,282,233,5.00E-05,2
0,11831,156,201,5.00E-05,1
0,7178B,226,227,5.00E-05,1
0,10407,193,221,5.00E-05,2
0,10408,236,198,5.00E-05,2
0,8601A,268,167,5.00E-05,1
0,R,492,455,5.00E-05,2
1,1165A,343,293,5.00E-05,1
1,11829,385,343,5.00E-05,1
1,1159A,343,324,5.00E-05,2
1,1159B,269,324,5.00E-05,2
1,2174A,241,248,5.00E-05,2
1,2174B,142,,5.00E-05,2
1,4531A,217,125,5.00E-05,2
1,4531B,233,243,5.00E-05,2
1,7184A,196,256,5.00E-05,2
1,7184B,322,245,5.00E-05,2
1,11831,206,110,5.00E-05,1
1,7178B,223,160,5.00E-05,1
1,10407,225,279,5.00E-05,2
1,10408,205,186,5.00E-05,2
1,8601A,268,296,5.00E-05,1
1,R,417,415,5.00E-05,2
2,1165A,276,280,5.00E-05,1
2,11829,384,365,5.00E-05,1
2,1159A,287,269,5.00E-05,2
2,1159B,246,268,5.00E-05,2
2,2174A,145,186,5.00E-05,2
2,2174B,144,168,5.00E-05,2
2,4531A,204,121,5.00E-05,2
2,4531B,147,78,5.00E-05,2
2,7184A,160,173,5.00E-05,2
2,7184B,163,146,5.00E-05,2
2,11831,68,55,5.00E-05,1
2,7178B,192,103,5.00E-05,1
2,10407,194,169,5.00E-05,2
2,10408,183,,5.00E-05,2
2,8601A,153,170,5.00E-05,1
2,R,399,,5.00E-05,2
3,1165A,367,372,5.00E-05,1
3,11829,413,390,5.00E-05,1
3,1159A,310,319,5.00E-05,2
3,1159B,317,245,5.00E-05,2
3,2174A,197,221,5.00E-05,2
3,2174B,244,235,5.00E-05,2
3,4531A,165,210,5.00E-05,2
3,4531B,281,187,5.00E-05,2
3,7184A,300,284,5.00E-05,2
3,7184B,185,240,5.00E-05,2
3,11831,190,109,5.00E-05,1
3,7178B,254,263,5.00E-05,1
3,10407,220,215,5.00E-05,2
3,10408,347,309,5.00E-05,2
3,8601A,268,235,5.00E-05,1
3,R,401,398,5.00E-05,2
