Experiment,Replicate
R,2
1165A,1
11829,1
1159A,2
1159B,2
2174A,2
2174B,2
4531A,2
4531B,2
7184A,2
7184B,2
11831,1
7178B,1
10407,2
10408,2
8601A,1
