Strain,Replicate,Day,Primer
1165A,1,0,1
11829,1,0,13
1159A,2,0,25
1159B,2,0,37
2174A,2,0,49
2174B,2,0,61
4531A,2,0,73
4531B,2,0,85
7184A,2,0,2
7184B,2,0,14
11831,1,0,26
7178B,1,0,38
10407,2,0,50
10408,2,0,62
8601A,1,0,74
R,2,0,86
1165A,1,1,3
11829,1,1,15
1159A,2,1,27
1159B,2,1,39
2174A,2,1,51
2174B,2,1,63
4531A,2,1,75
4531B,2,1,87
7184A,2,1,4
7184B,2,1,16
11831,1,1,28
7178B,1,1,40
10407,2,1,52
10408,2,1,64
8601A,1,1,76
R,2,1,88
1165A,1,2,5
11829,1,2,17
1159A,2,2,29
1159B,2,2,41
2174A,2,2,53
2174B,2,2,65
4531A,2,2,77
4531B,2,2,89
7184A,2,2,6
7184B,2,2,18
11831,1,2,30
7178B,1,2,42
10407,2,2,54
10408,2,2,66
8601A,1,2,78
R,2,2,90
1165A,1,3,7
11829,1,3,19
1159A,2,3,31
1159B,2,3,43
2174A,2,3,55
2174B,2,3,67
4531A,2,3,79
4531B,2,3,91
7184A,2,3,8
7184B,2,3,20
11831,1,3,32
7178B,1,3,44
10407,2,3,56
10408,2,3,68
8601A,1,3,80
R,2,3,92
1165A,1,4,9
11829,1,4,21
1159A,2,4,33
1159B,2,4,45
2174A,2,4,57
2174B,2,4,69
4531A,2,4,81
4531B,2,4,93
7184A,2,4,10
11831,1,4,34
7178B,1,4,46
10407,2,4,58
10408,2,4,70
8601A,1,4,82
R,2,4,94
7184B,2,4,12
