0,1,2,3,harmonic mean,ar mean
3935554.524553854,3485382.332778486,5422650.21800529,3812350.0536943097,4049716.5890887077,4163984.282257985
3962607.5305520524,3817358.4273205013,5590013.4653621875,3346678.837080726,4032199.2234015777,4179164.565078867
4096698.328991767,4010693.0130184805,5487039.948915635,3824252.519584806,4268173.1121979235,4354670.952627672
3896351.1504916213,3804795.834854548,5382040.315272425,4132554.1685855007,4222701.867930468,4303935.367301024
4632056.596734957,4295282.998051998,5339889.744497352,3908602.2035765327,4485229.733015519,4543957.88571521
4361428.25294196,4519820.95467931,5631023.867079462,4078392.0048567005,4580261.075883144,4647666.269889358
4353419.549168819,3892861.114464961,5732303.433601569,4413917.14727663,4506580.005010003,4598125.311127994
3807676.8827216774,3982044.2023381894,4665385.865295807,3501010.5374020594,3945820.009832709,3989029.3719394333
4308893.983285244,3517600.5946555273,5569110.707575739,3027145.3583683316,3897613.8951426335,4105687.660971211
4189338.3926835107,3786960.011918882,5782767.614025469,3924176.7095564404,4298656.341439826,4420810.682046075
4365389.004189569,3999959.0981993596,5670309.8907507965,3269727.9944340354,4161160.6799296415,4326346.49689344
4083760.5030586673,4054814.773467623,5555522.959343593,3571916.367181344,4204084.992388462,4316503.650762808
3362207.4726569005,4450685.9634573115,5042863.402697507,4007132.610187674,4123867.991156497,4215722.362249848
3862562.37204545,4016293.0259925555,5933033.281294479,4501530.228578557,4451488.464568226,4578354.72697776
4091902.0103746383,3962264.995197211,6018041.335364294,3608857.2610159814,4255187.54240797,4420266.400488031
4400361.343324447,3353600.3652559924,5516576.792210074,3870107.0978041203,4144632.4522296935,4285161.399648659
4019189.937668518,4007731.4135281476,5650988.478279892,3556649.046585557,4182141.4837221354,4308639.719015528
4477209.698468581,3456535.7366145495,5110076.332743244,3893264.23422496,4144192.7554030525,4234271.500512834
4710257.088040259,3995908.7206208277,5912052.311354699,4456143.217280967,4672275.455928729,4768590.3343241885
4919981.006131624,3667183.8049188387,5666089.300111239,3823989.8848575368,4376668.480996256,4519310.999004809
3937376.8971872763,3848188.8162389547,5646003.8136263145,3557986.6183585697,4115171.4825602947,4247389.036352779
4142479.24494246,3647534.5065459083,5628070.176434223,3555232.4401347293,4104603.8607417326,4243329.09201433
4872121.911254606,4393540.924711766,6150311.414044548,3735391.004347544,4634139.270631233,4787841.313589616
3841458.1984629715,3572567.3485817094,4789759.917016452,4236396.131241058,4060678.783040539,4110045.3988255477
3461874.8995547756,4151125.1296522007,5593209.242808315,3557962.0163605725,4042007.104211961,4191042.8220939664
4478455.387496197,4300616.4399283035,5441663.837455325,4586193.934491765,4664020.682396772,4701732.399842897
4512726.9325861195,4109663.370975899,4799757.133564579,3410802.4599933363,4138839.6559208664,4208237.474279984
3953122.713319426,4118184.383494785,5651210.301860475,3692844.3982839133,4239366.300291684,4353840.44923965
3853845.953639845,3876430.1885250174,5041617.017638069,4228141.149992496,4200313.058499622,4250008.577448856
4969588.5663916385,3913013.077003026,5690386.365994598,4025439.030430234,4540622.175993531,4649606.759954874
4026472.4195444756,3590918.8891042136,5170718.58577604,3694517.795949708,4036715.382555204,4120656.9225936094
4591909.920787002,4361488.872055007,5073504.716260207,3950908.682928194,4458003.963429414,4494453.048007602
4471182.626150225,3780203.970249908,5725002.5837958185,3488811.632180386,4212772.71893281,4366300.203094085
4945510.67572162,3830479.6884310334,5384715.46175163,3907007.0121526355,4420237.610587628,4516928.20951423
5121138.267782714,3908578.5703101573,4747656.193214165,4145044.6058180244,4429684.985364528,4480604.409281265
4557336.451302394,3520723.089037462,5496625.760180641,3327952.958103515,4057314.478651509,4225659.564656003
4196035.512169051,3933306.5510284696,6191048.28158607,4133623.961577987,4464279.625301909,4613503.576590394
4227440.156426026,3668472.156159916,5446562.817941343,3853440.2523553544,4200563.379028157,4298978.84572066
3816196.13377966,3896977.3967378363,5689434.855798105,3243733.8149447995,3989224.076257479,4161585.5503151002
4724180.683513009,3777686.4144722302,4938425.186105316,3843704.1409493457,4259630.398951279,4320999.106259976
4158286.7735683224,4004584.3815436154,5417863.955810766,3669729.032823272,4222653.203095582,4312616.035936493
4405173.985324855,3855374.7548761675,5457354.813365068,4250621.025963925,4420462.726207652,4492131.144882504
4091185.07365471,3259581.0036118804,5528549.197444483,3703045.886177734,3991445.9517548713,4145590.2902222015
4646982.378772571,4344593.290611308,4543504.333785112,3938167.733331525,4350738.344123747,4368311.934125129
4675339.1815185845,3478864.6223756582,5369051.968940407,3263371.809268055,4024053.880073006,4196656.895525676
3773356.19666893,4145376.66291636,5216305.102806891,4435094.6333117215,4331678.464334274,4392533.148925976
3741070.111671105,4030526.2939115367,5481545.352673438,3685114.234998675,4127106.3386135334,4234563.99831369
3923284.406148206,3824595.7990225516,5099035.329588956,3009867.9769025724,3828813.6213663635,3964195.877915572
4343640.846378205,4108687.7729707323,5346585.694749218,4204982.093189244,4452078.694377492,4500974.10182185
4330739.026394754,3575451.170073077,5082005.484122197,4062316.662496178,4194938.269339527,4262628.085771551
4520905.602254473,4935518.068791823,4599440.967843955,4394253.688053818,4604076.727764192,4612529.581736017
4058794.971697074,3531657.95677351,5091734.703188708,3844306.0055693006,4056575.5629088916,4131623.4093071483
4377826.1519816695,3684700.826135192,5229613.697474348,3923422.7201228864,4228711.85339003,4303890.848928524
4945874.109876883,3504920.6261438467,5611668.826081375,4361930.657183613,4469482.058883486,4606098.554821429
3843735.4397389977,3694380.6212969287,5479918.0610465305,3109901.886448437,3865171.2765154764,4031984.0021327236
4429994.865897448,4029383.534094727,5235805.848126696,3982819.708834974,4366899.067749522,4419500.9892384615
4591938.900112802,3594788.544085437,4852613.830841677,3793844.0678840615,4142447.0916114636,4208296.335730994
4416824.305087322,3983358.182296365,5320513.086451237,4153133.8018115917,4414108.224161207,4468457.343911629
4316351.059545016,3895994.730433908,5749323.912515869,3950657.7543766857,4369641.376547637,4478081.86421787
4937992.921295296,3866776.0240419013,4983822.576148453,3167515.9718130403,4092160.3514227313,4239026.873324674
