0,1,2,3,harmonic mean,ar mean
3950923.629735952,4766053.980270654,5487236.01804118,5070148.176145608,4748357.474180282,4818590.451048348
3735507.2050427734,5043810.402513293,5677098.104282742,5163729.152813689,4786012.0657200245,4905036.216163124
3919822.556578621,4392095.709788997,6394126.020196519,4757116.073443013,4709205.03770649,4865790.090001788
4591487.231421366,4733191.996309299,5383939.972439149,4991372.811904437,4907063.067361629,4924998.003018563
3368285.482802088,4768570.999169829,5779039.975976029,5188617.244054662,4585252.053469156,4776128.425500652
4580209.413042163,4832240.839178691,6054728.322622512,5684201.869717666,5219476.86920924,5287845.111140258
3791427.7565730405,5019654.471116211,5744450.587599645,4449513.027532228,4641477.597087442,4751261.460705281
3164309.4376912387,4578691.66146311,6004486.377455101,4789496.480004973,4396763.6286458485,4634245.989153606
3755124.305575771,4872003.350203089,5831750.35808859,4604846.26504215,4650109.685163279,4765931.0697274
3918623.8513309862,4254569.196980359,5734361.7026924845,5140699.545083471,4655783.757588607,4762063.574021826
4298855.5829273695,5337406.415743898,5854974.165659446,4874299.818034375,5025570.209589363,5091383.995591272
3620739.9523992403,4787762.098679609,5586177.478170792,4778127.307286626,4580050.621148301,4693201.7091340665
3786908.9573468263,5037071.393907699,5839935.646188952,5547481.895510571,4913447.176315936,5052849.473238512
3315869.258411525,5137274.809276733,6008258.626490086,5076428.570275554,4652990.230213489,4884457.816113474
4073265.389092696,5035312.376179536,5812988.656419973,4612498.942180934,4802315.944715465,4883516.340968285
3254470.9467019965,4985273.958218516,6174424.107050164,5356879.293157737,4670198.404196638,4942762.076282104
3744052.5737156607,5190981.056901295,6259597.217216205,4406737.545043182,4725830.847861333,4900342.0982190855
3984628.263169964,4578176.613408223,5762116.107503378,4777674.003142673,4693479.218251051,4775648.746806059
4121026.842944761,5170521.733408197,5726446.194089329,4423143.70832636,4780263.436307676,4860284.619692162
3924848.119856257,5294148.9537009485,5964080.048460273,5109583.3031399455,4956286.611121953,5073165.106289356
3353612.45188406,4975952.745061699,6018694.193990469,5096738.384813736,4643035.529577113,4861249.443937492
3215181.2264361824,5259065.339325368,6068389.874218781,4711447.271165509,4554720.92742,4813520.92778646
3830072.0753398524,4530174.32671388,5288499.209222344,4914471.253855127,4574544.4829440275,4640804.216282801
3163882.2943538753,4877408.418425849,6228320.362356032,5036790.000220452,4544471.399493586,4826600.268839052
3600652.454524947,5044737.030457883,5824203.506604044,5339135.588412995,4790721.152264286,4952182.144999967
3907986.7034554263,4761083.128832737,6394509.772470069,5093874.623580169,4886266.98410408,5039363.5570846
4012315.1288112053,5252743.469545823,5724167.837070748,4473958.800150908,4774278.394809588,4865796.308894671
4305525.93092648,5024530.593354369,5926488.099001164,4833073.340362482,4957090.77935976,5022404.490911124
3308721.619373165,4734903.684961811,5697888.745863831,5249237.495140724,4548366.89631521,4747687.886334883
3831600.4938563714,5090754.810193273,5964012.634872909,4483814.885927971,4716320.471103565,4842545.706212631
4113217.055758489,5250134.512097559,5256533.110141831,5068099.416261834,4871264.086317251,4921996.023564928
3285874.478061446,4653083.031645952,5543374.116700748,4680996.656999433,4379868.0260802815,4540832.070851894
3629316.7187579037,4725464.151270676,5755862.195320589,4881619.08071263,4620328.187213553,4748065.53651545
3631434.6580821653,5119046.054649271,5825532.249282408,4889700.402329855,4723153.541791806,4866428.341085925
4072501.489393939,4438327.819128974,5706977.929502556,4773853.977265804,4675312.115022527,4747915.303822818
4697184.165120736,4719767.402223371,5830293.400060414,4580213.647338699,4910284.594002307,4956864.653685805
3950943.1973230015,5294151.740905966,5820984.8629234135,4873424.509704509,4884132.821800681,4984876.0777142225
3180913.5290359184,5495076.607501245,5354256.049308612,5009714.547704923,4531367.844228357,4759990.183387675
3638482.59232596,5117762.588497636,5728186.421839082,5006803.522250732,4736298.932182868,4872808.781228352
3283347.605081562,5235524.896552705,5528593.981519172,4884091.6276232395,4539294.521627528,4732889.527694169
4101397.6747947424,4960974.2896233825,5644207.137407383,5242167.7882744605,4918075.8586788,4987186.722524992
3333825.7664272925,4984977.507179933,5333498.286163337,4890400.614101963,4481617.848911675,4635675.543468131
3984379.1202200293,5418103.504152949,6009828.270703316,4666442.371532017,4900539.397388863,5019688.316652078
3198139.720253288,5237631.170561001,5972984.648898268,4864771.452932936,4563148.312017197,4818381.748161374
3645984.936049579,4758831.66832466,5896326.85538989,5042861.207442166,4693143.754770088,4836001.166801574
3802533.3280165056,4946307.173344938,5349570.266042995,4659550.036544227,4615220.417368181,4689490.200987167
3601217.4923649533,4513815.4575708695,5594447.950148355,4707092.31735164,4492262.300317969,4604143.304358955
3634675.0226942417,4809621.755986266,5971751.693106793,4627123.578915081,4615652.547846886,4760793.0126755955
3536695.3131336304,5216207.422629426,5774226.364078943,5329559.291406152,4788835.4244777495,4964172.097812038
3811106.401247659,4941751.902665432,6131280.594875667,5048240.722483095,4842994.614097807,4983094.905317963
3952435.1177986516,5227110.039501598,5780665.851421938,4875498.273871126,4863715.197318215,4958927.3206483275
3931058.7576316386,4982271.056305838,5696871.377178239,5486064.859639769,4920587.636653831,5024066.5126888715
3130420.386065962,4487029.543618068,5744501.726256931,5096417.030811359,4383051.108782211,4614592.17168808
3340222.895982043,5176800.572096823,6227573.464725758,5095943.285055585,4709420.333351997,4960135.054465053
4007139.7737721503,5291257.96324857,5948480.875772555,4415218.114377803,4801084.705952212,4915524.18179277
3665597.580801871,5080293.432871141,5767391.2878329605,5043411.9545799075,4754473.494396905,4889173.56402147
3550901.711164325,4834929.5446345825,5410469.279158861,4915511.593003471,4562505.194107629,4677953.03199031
4058733.936511903,4824489.562252147,5860395.237750269,5058985.600578558,4866398.474102952,4950651.084273219
3179093.140801725,5042488.462487066,6118325.692052905,4887252.1210197,4540670.021541789,4806789.854090349
3526151.4407827524,5400988.272183544,5923235.333615232,4946867.091581219,4763484.626582806,4949310.534540687
4315861.551628524,4994393.559645106,5706854.584543203,5360445.114737317,5039639.894497402,5094388.702638538
4089399.2447698032,4707895.6012736745,5807941.260937459,4801001.272186575,4776622.684417822,4851559.344791878
3564384.0941642164,4406021.045147014,5354276.325964258,4902267.932103179,4453007.341183743,4556737.349344667
3830587.9482397875,5131413.955640107,5673192.705267073,4966204.623919569,4798676.364890646,4900349.808266634
4148918.5427025594,4461133.991984082,5886954.425856512,4707572.6540357,4719899.129571006,4801144.903644714
3947841.563060817,4561241.276671786,6095643.884999456,4611297.363743258,4686849.183702323,4804006.022118829
4493067.969540852,5109288.784883064,5681905.350733809,4825054.717035216,4990419.234109086,5027329.205548235
3522886.5364442435,5534441.0617081495,6150118.202962424,5106176.243805919,4860358.161902258,5078405.511230184
3801768.096237744,5082335.742410323,5296361.153682232,4908589.365552565,4693024.423304149,4772263.589470716
3516169.0097716665,4905282.404886317,5601139.66054774,4792925.752771335,4569140.239183192,4703879.206994265
