Day,R,R new,R old/new
0,4677673,674604,6.933953845515295
1,5788860,852632,6.789400350913407
2,7657482,1122493,6.8218527866098055
3,7013512,1028474,6.819338165087304
4,6267447,915627,6.844978359091638
