,super bc
5459,128338
5463,128342
5480,128359
5484,128363
5495,128374
5500,128379
5501,128380
5511,128390
5520,128399
5532,128411
5536,128415
5573,128452
5575,128454
5586,128465
5588,128467
5600,128479
5603,128482
5614,128493
5634,128513
5642,128521
5658,128537
5688,128567
5694,128573
5697,128576
5699,128578
5710,128589
5716,128595
5717,128596
5725,128604
5726,128605
5754,128633
5761,128640
5768,128647
5786,128665
5795,128674
5801,128680
5802,128681
5808,128687
5816,128695
5822,128701
5826,128705
5838,128717
5844,128723
5845,128724
5855,128734
5865,128744
5889,128768
5901,128780
5905,128784
5913,128792
5916,128795
5935,128814
5938,128817
5956,128835
5961,128840
5972,128851
5974,128853
5975,128854
5984,128863
5997,128876
6002,128881
6003,128882
6008,128887
6019,128898
6030,128909
6031,128910
6037,128916
6043,128922
6045,128924
6047,128926
6050,128929
6053,128932
6062,128941
6085,128964
6092,128971
6100,128979
6113,128992
6115,128994
6121,129000
6123,129002
6162,129041
6163,129042
6173,129052
6174,129053
6178,129057
6182,129061
6197,129076
6204,129083
6211,129090
6220,129099
6241,129121
6242,129122
6249,129129
6257,129137
6260,129140
6321,129202
6332,129213
6342,129223
6347,129228
6356,129237
6369,129250
6373,129254
6388,129269
6389,129270
6394,129275
6416,129297
6436,129317
6442,129323
6467,129348
6479,129360
6480,129361
6489,129370
6494,129375
6510,129391
6516,129397
6535,129416
6539,129420
6546,129427
6552,129433
6556,129437
6560,129441
6562,129443
6565,129446
6576,129457
6613,129494
6622,129503
6637,129518
6644,129525
6652,129533
6662,129543
6673,129554
6686,129567
6694,129575
6699,129580
6701,129582
6709,129590
6714,129595
6722,129603
6723,129604
6740,129621
6748,129629
6754,129635
6778,129659
6809,129690
6831,129712
6857,129738
6867,129748
6869,129750
6874,129755
6887,129768
6891,129772
6896,129777
6913,129794
6914,129795
6918,129799
6920,129801
6923,129804
6931,129812
6957,129838
6970,129851
6980,129861
6993,129874
6997,129878
6998,129879
6999,129880
7011,129892
7026,129907
7030,129911
7031,129912
7050,129931
7054,129935
7072,129953
7084,129965
7104,129985
7111,129992
7113,129994
7121,130002
7147,130028
7156,130037
7170,130052
7193,130076
7195,130078
7201,130084
7206,130089
7211,130094
7225,130108
7235,130118
7240,130123
7266,130149
7296,130179
7302,130185
7305,130188
7320,130203
7323,130206
7344,130227
7357,130240
7377,130260
7380,130263
7452,130335
7469,130352
7472,130355
7478,130361
7493,130376
7496,130379
