,Day 1,Day 2,kappa,kappa std,R1,R2,xbar,xbar std,ntransfers
0,0,1,3.6542708856694825e-07,3.722881377678822e-08,5352112.0,3177435.0,-0.0007019611331661006,0.0005511602031383067,1
1,1,2,4.120456597230072e-07,4.0191508997045105e-08,3177435.0,2844506.0,-0.0008208507074548525,0.0008096356881124724,1
2,2,3,1.1824731317149966e-06,1.4570235636417145e-07,2844506.0,458520.0,0.0062657370236645325,0.0015182360374219406,1
3,3,4,1.1695899058058946e-06,1.2324630779161332e-07,458520.0,806589.0,0.0013349811087647364,0.0014747331074034568,1
4,0,2,4.743236066463857e-07,6.312955534272586e-08,5352112.0,2844506.0,-0.0015918455063255793,0.000674644099128671,2
5,1,3,1.1568525258519175e-06,1.4085002802707188e-07,3177435.0,458520.0,0.004501075463458503,0.0012740584296883895,2
6,2,4,1.0256112874073394e-06,1.1872793297966783e-07,2844506.0,806589.0,0.007915389686611199,0.0013748697585273244,2
7,0,3,1.6989229250820294e-06,1.900665487553591e-07,5352112.0,458520.0,0.0047847612412736116,0.0018781951663603077,3
8,1,4,9.939859696582504e-07,1.0700990076909362e-07,3177435.0,806589.0,0.006624874297760616,0.0014622745015449884,3
