,Day,zeta,zeta + Ne R,R,Ne
2,0,5.1756067843986694e-08,5.190394017035,5352112.0,1311028.3768222902
0,1,1.1037446332179866e-07,3.826451040656536,3177435.0,1311028.3768222902
1,2,1.1176181685814311e-07,3.4413040208472987,2844506.0,1311028.3768222902
3,3,7.639656896173988e-07,1.7509149055679594,458520.0,1311028.3768222902
4,4,3.530969678726717e-07,1.754450343623145,806589.0,1311028.3768222902
