,Day,zeta,zeta + Ne R,R,Ne
3,0,5.439948573557717e-08,4.666392811425093,7675760.0,2561863.097508716
4,1,4.242281817388128e-08,3.539638675314891,6320420.0,2561863.097508716
0,2,6.229724186558282e-08,4.259712248882478,6660693.0,2561863.097508716
2,3,3.8938493067858e-08,3.506137820652284,6420382.0,2561863.097508716
1,4,1.4282071781953573e-07,5.320296138694774,5532617.0,2561863.097508716
