,Day 1,Day 2,kappa,kappa std,R1,R2,xbar,xbar std,ntransfers
0,0,1,1.415257703325744e-06,6.94932033617666e-08,6355964.0,7089481.0,-0.010134738515800518,0.0008748957111176192,1
1,1,2,4.2259634783853755e-07,2.111331052020962e-08,7089481.0,6005392.0,0.017020292501251855,0.00042679649962204367,1
2,2,3,8.384257213463431e-07,4.1410984477794405e-08,6005392.0,5730118.0,3.391114050556661e-05,0.0006928694964672461,1
3,3,4,4.320543290719493e-07,1.91431087753377e-08,5730118.0,4344732.0,0.024669824174398263,0.0004859712462252896,1
