Day,R,R new,R old/new
0,9282250,1455533,6.377217143135883
1,9101454,1447412,6.28808798047826
2,7633225,1228648,6.21270290595842
3,2638322,388249,6.7954379792349755
4,1475030,230883,6.38864706366428
