Day,R,R new,R old/new
0,5394681,726758,7.422939960757226
1,8151046,1091558,7.46735033777408
2,8443867,1153650,7.319262341264682
3,9114618,1212976,7.514260793288573
4,8045838,1066263,7.545828749567415
