,Day,zeta,zeta + Ne R,R,Ne
1,0,1.0304957694491115e-07,6.9799586493180295,7060772.0,1735037.877169765
2,1,9.989646730128885e-08,2.4423840729530837,2502591.0,1735037.877169765
0,2,6.980124514253146e-08,3.064276548153744,3581598.0,1735037.877169765
4,3,3.941770277412325e-08,4.655440658359431,6342328.0,1735037.877169765
3,4,3.7686313597161624e-08,4.823379355164891,6633708.0,1735037.877169765
