,Day,zeta,zeta + Ne R,R,Ne
0,0,4.221478375633471e-07,8.916733794650774,3693560.0,1378286.4331515227
3,1,3.0826208985420695e-08,6.884104932714247,8109982.0,1378286.4331515227
4,2,3.469192460806447e-08,6.228440059097477,7206288.0,1378286.4331515227
1,3,3.4437093617679274e-08,7.822068831836357,9060798.0,1378286.4331515227
2,4,4.012322001359055e-08,5.520690220938286,6230806.0,1378286.4331515227
