,Day,zeta,zeta + Ne R,R,Ne
2,0,5.345570555824361e-07,1.62923428181919,575669.0,1445233.160051653
0,1,3.1271892978067283e-07,2.5675846741150474,1321586.0,1445233.160051653
1,2,6.133321230246116e-08,3.8203719044574935,4076095.0,1445233.160051653
3,3,4.537849934028744e-08,4.811991830995008,5509217.0,1445233.160051653
4,4,4.172784293177671e-08,5.636298556385762,6562678.0,1445233.160051653
