,Day,zeta,zeta + Ne R,R,Ne
1,0,1.6050333846944027e-05,5.007788000000003,77880.0,10000000.000000006
0,1,5.545561221886781e-07,5.225405500000003,2254055.0,10000000.000000006
3,2,2.2944199706314248e-07,5.544800000000001,5448000.0,10000000.000000006
2,3,1.6222602133934052e-07,5.770529899999996,7705299.0,10000000.000000006
4,4,1.3953509140106634e-07,5.895832000000002,8958320.0,10000000.000000006
