,Day 1,Day 2,kappa,kappa std,R1,R2,xbar,xbar std,ntransfers
0,0,1,6.65602450725084e-07,8.45894842952319e-08,1575726.0,7109772.0,-0.01890162403993708,0.0018752318977869227,1
1,1,2,4.946508492803352e-07,6.773657105506753e-08,7109772.0,7566848.0,-0.02437472539061862,0.0013467954587916193,1
2,2,3,1.2953952976716983e-07,1.4148486995863733e-08,7566848.0,9036266.0,0.0019497606980546328,0.0007697996867468069,1
3,3,4,3.5892043196668335e-07,3.7077825210476606e-08,9036266.0,6722119.0,-0.01567848922989364,0.0012433583848669603,1
4,0,2,1.592102409483781e-06,1.8011253838967222e-07,1575726.0,7566848.0,-0.04101485914925816,0.002366394945796743,2
5,1,3,6.747710019914326e-07,6.901075298896051e-08,7109772.0,9036266.0,-0.022394782549548332,0.0019081846968160118,2
6,2,4,4.317374978302548e-07,5.664158433636157e-08,7566848.0,6722119.0,-0.013759729508914523,0.0012688139645138587,2
7,0,3,1.7889851034075253e-06,2.0187559289404246e-07,1575726.0,9036266.0,-0.039532954472725576,0.002637543357265869,3
8,1,4,1.3483814985423837e-06,1.6774737045657794e-07,7109772.0,6722119.0,-0.037344887500734815,0.002111855502788036,3
